Polling Firm,Date,V,A,O,B,F,Ø,I,C,K,Lead,"Red (A+B+F+Ø)","Blue (V+O+I+C+K)"
Rambøll,6/17/2014,21.7,23.1,19.7,9.2,6.5,8.1,5.5,5.8,0.4,1.4,46.9,53.1
Wilke,6/17/2014,21.7,23.1,19.7,9.2,6.5,8.1,5.5,5.8,0.4,1.4,46.9,53.1
Voxmeter,6/15/2014,21.1,22.9,18.9,10.3,7.1,8.8,5.2,4.7,0.3,1.8,49.1,50.2
Epinion,6/13/2014,21.6,22.3,22.1,8,7.5,8.3,4.7,5,0.4,0.2,46.1,53.8
Greens,6/10/2014,19.8,23.9,21.1,9,6.7,9.2,4.4,4.9,0.9,2.8,48.8,51.1
Voxmeter,6/8/2014,20,23.2,20.8,9.1,6.5,9.4,5.1,5.2,0.2,2.4,48.2,51.3
Gallup,6/5/2014,21.9,22.4,20.9,8.7,7.9,7.1,4.3,5.5,0.7,0.5,46.1,53.3
Epinion,6/2/2014,20.1,21.4,23.8,7.3,7.2,8.7,5.4,5.8,0.3,2.4,44.6,55.4
Megafon,6/2/2014,14.5,25.1,21.9,8.7,6.9,10.1,6,5.4,0.8,3.2,51.5,48.5
Voxmeter,6/1/2014,21.2,22.7,20.1,9.1,5.6,9.7,5.6,5.1,0.4,1.5,47.1,52.4
Megafon,5/28/2014,19.3,22.9,21.3,8.9,6.3,9.8,5.8,5.2,0.1,1.6,48.1,51.9
Voxmeter,5/25/2014,22.1,22.6,19.2,9.4,5.4,10.2,5.8,4.8,0.3,0.5,47.6,52.2
Epinion,5/22/2014,24,21.3,20.1,8.3,5.6,10.2,5.6,4.5,0.5,2.7,45.4,54.7
Megafon,5/20/2014,23,22.3,20,9.1,5.1,8.8,5.9,4.4,0.9,0.7,45.3,54.2
Voxmeter,5/19/2014,25.9,22.2,18.2,8.3,5.7,9.1,5.8,4.1,0.3,3.7,45.3,54.3
Rambøll,5/18/2014,24,18.9,18.9,9.5,6.4,10.7,6.3,4.6,0.7,5.1,45.5,54.5
Wilke,5/18/2014,24.0,18.9,18.9,9.5,4.6,10.7,6.3,4.6,0.7,5.1,43.7,54.5
Voxmeter,5/11/2014,27.5,21.9,17.9,8.1,5.8,8.7,5.5,3.9,0.3,5.6,44.5,55.1
Gallup,5/8/2014,23.9,20.3,21.7,8,5.9,9.8,4.8,4.7,0.7,2.2,44,55.8
Voxmeter,5/5/2014,27.8,21.1,17.9,8.6,5.2,9.6,5.3,3.6,0.4,6.7,44.5,55
Greens,5/2/2014,26.8,15.7,23.1,7.8,5,10.1,6.8,4,0.3,3.7,38.6,61
Voxmeter,4/28/2014,28.1,20,18.8,8.7,4.8,10.5,5.5,3.1,0.3,8.1,44,55.8
Rambøll,4/26/2014,22.7,21.5,18.7,8.5,5.5,10.7,6.9,4.7,0.8,1.2,46.2,53.8
Megafon,4/24/2014,26.4,20.3,22,8.3,4,9.7,5.6,3.2,0.5,3.6,42.3,57.7
Epinion,4/22/2014,26.9,19.6,20.3,8.7,4.4,10.7,4.8,4.1,0.4,6.6,43.4,56.5
Wilke,4/20/2014,22.7,21.5,18.7,8.5,5.5,10.7,6.9,4.7,0.8,1.2,46.2,53.8
Voxmeter,4/14/2014,28.3,19.3,18.2,8.8,4.7,11.1,5.2,3.9,0.2,9,43.9,55.8
Gallup,4/14/2014,25,20.2,20.9,8,4.3,11,5.1,4.8,0.4,4.1,43.5,56.2
Greens,3/31/2014,28.4,20.1,17.9,9.1,4.6,10.3,4.5,4,0.4,8.3,44.1,55.2
Megafon,3/27/2014,25.4,19.5,20.9,7.8,5.1,11.2,5.2,4.3,0.4,4.5,43.6,56.2
Rambøll,3/21/2014,24.8,18.2,21.1,10.6,5.9,9.9,4.6,4.3,0.6,3.7,44.6,55.4
Voxmeter,3/19/2014,28.1,19.1,18.5,9.5,4.9,10.5,4.4,4.6,0.2,9,44,55.8
Wilke,3/16/2014,24.8,18.2,21.1,10.6,5.9,9.9,4.6,4.3,0.6,3.7,44.6,55.4
Epinion,3/14/2014,27,19.7,19.9,9,3.9,11.1,5,4.1,0.4,7.1,43.7,56.4
Gallup,3/10/2014,26.6,19.2,21.8,8.6,4.8,10.9,3.5,3.7,0.8,4.8,43.5,56.4
Greens,3/3/2014,26.8,19.3,19.4,10.4,3.7,10.3,4.5,4.4,0.4,7.4,43.7,55.5
Voxmeter,3/2/2014,27.1,19.8,17.9,10.2,4.4,10.3,4.7,4.9,0.3,7.3,44.7,54.9
Voxmeter,2/24/2014,27.6,20.5,18.1,9.9,3.8,10.1,4.9,4.5,0.3,7.1,44.3,55.4
Voxmeter,2/18/2014,28.3,20.9,17.6,9.4,3.1,10.8,5.1,4.4,0.3,7.4,44.2,55.7
Rambøll,2/16/2014,25.5,18.3,19.5,9.1,4.2,11.8,6.7,4.1,0.8,6.0,43.4,56.6
Wilke,2/16/2014,25.5,18.3,19.5,9.1,4.2,11.8,6.7,4.1,0.8,6.0,43.4,56.6
Voxmeter,2/9/2014,29.4,20.1,16.7,9.1,2.4,11.7,5.3,4.7,0.3,9.3,43.3,56.4
Epinion,2/7/2014,27.6,20.1,18.8,8.6,3.8,11.4,5.2,4.1,0.5,7.5,43.9,56.2
Voxmeter,2/2/2014,28.7,19.9,17.1,8.9,3.1,11.6,5.2,4.6,0.5,8.8,43.5,56.1
Megafon,1/31/2014,26.7,18.8,20.1,7.4,4.5,12.2,5.1,4.5,0.4,6.6,42.9,56.8
Greens,1/30/2014,28.4,20.1,18,6.7,3.9,12.2,5.1,4.2,1,8.3,42.9,56.7
Voxmeter,1/13/2014,28.3,22.1,16.6,9.5,3.8,9.2,5.2,4.7,0.8,6.2,44.6,55.6
Wilke,1/13/2014,25.4,21.6,18.7,8.0,4.5,11.5,4.4,5.0,0.8,3.8,45.6,54.3
Gallup,1/13/2014,27.1,23.8,16.6,8.4,3.9,11.1,4.8,3.6,0.6,3.3,47.2,52.7
Greens,1/13/2014,26.1,21.8,18.3,8.4,4.2,12,4,4.2,0.4,4.3,46.4,53
Megafon,12/21/2013,27.7,22.5,18.5,8.4,3.7,9.5,5.2,3.5,0.5,5.2,44.1,55.4
Voxmeter,12/9/2013,28,22.6,15.2,8.3,4.6,10.6,5.7,4.1,0.5,5.4,46.1,53.5
Voxmeter,12/8/2013,27.5,23.3,14.9,7.9,5,10.9,5.2,4.7,0.4,4.2,47.1,52.7
Wilke,12/8/2013,26.0,21.0,17.4,8.0,4.9,11.2,5.8,5.0,0.7,5.0,45.1,54.9
Gallup,12/6/2013,27.5,22.7,15.6,7.7,4.6,10.8,5,4.7,0.7,4.8,45.8,53.5
Voxmeter,12/2/2013,25.8,24.1,15.8,8.1,5.1,10.2,5.9,4.4,0.3,1.7,47.5,52.1
Voxmeter,11/24/2013,24.9,24.7,15.3,7.5,6,11.5,5.7,3.9,0.2,0.2,49.7,50
Megafon,11/22/2013,29.3,22.2,15.9,7.6,5.5,10.2,4.6,3.9,0.4,7.1,45.5,54.1
Rambøll,11/17/2013,25.2,22.4,16.4,7.5,6.1,10.9,6.1,4.7,0.6,2.8,46.9,53
Wilke,11/10/2013,25.2,22.4,16.4,7.5,6.1,10.9,6.1,4.7,0.6,2.8,46.9,53.0
Voxmeter,11/4/2013,28.6,22.9,15.2,7.2,6.9,10.4,5.2,3.1,0.3,5.7,47.4,52.6
Greens,11/4/2013,27.8,21.7,17.3,6.3,5.3,10.1,5.5,4.6,0.6,6.1,43.4,56.4
Megafon,10/25/2013,25.4,21.7,18.9,8.4,4.5,9.7,6.2,4.1,0.7,3.7,44.3,55.3
Epinion,10/24/2013,26.4,21.6,19.7,8.2,5.2,9.3,5.6,3.3,0.5,4.8,44.3,55.7
Voxmeter,10/20/2013,26.1,22.5,16.9,8.6,6.2,10.4,5.5,3.2,0.5,3.6,47.7,52.3
Megafon,10/13/2013,26.3,19.2,19.1,8.8,5.6,9.9,5.8,4.8,0.4,7.1,43.5,56.4
Rambøll,10/10/2013,26.7,24.2,17.6,6.7,5.6,9.1,4.5,4.5,0.9,2.5,45.6,54.2
Epinion,9/26/2013,28.4,19.4,19.7,7,5.1,11.9,4.8,3.2,0.4,8.7,43.4,56.5
Megafon,9/25/2013,29.6,18.7,17.5,9.3,6.3,8.9,4.5,3.7,0.6,10.9,43.2,55.9
Voxmeter,9/23/2013,30.6,20.9,16.9,7.2,4.5,10.2,5.3,3.8,0.3,9.7,42.8,56.9
Epinion,9/19/2013,31.4,21.4,15.6,7.4,4.9,9.5,5.8,3.3,0.4,10,43.2,56.5
Greens,8/28/2013,29.4,19.3,17.5,8.4,5.8,9.9,5.4,3.4,0.6,10.1,43.4,56.3
Megafon,8/22/2013,27.8,18.9,18.2,8.4,4,11,6.5,4.6,0.4,8.9,42.3,57.5
Epinion,8/19/2013,29.3,18.9,17.8,8.7,4.9,10.2,5.9,3.9,0.4,10.4,42.7,57.3
Voxmeter,8/19/2013,29.5,19.4,15.2,9.2,6,11,6.1,3,0.3,10.1,45.6,54.1
Epinion,7/30/2013,30.1,20.8,17.2,8.7,4.2,12,5.1,3.9,0.3,9.3,45.7,56.6
Voxmeter,7/1/2013,27.8,20.1,13.6,8.7,6.1,11.6,6,3.4,0.3,7.7,46.5,51.1
Voxmeter,6/17/2013,30.9,18.5,14.2,8.7,5.7,12.1,5.7,3.7,0.2,12.4,45,54.7
Megafon,6/13/2013,29.3,18.1,15.4,8,4.2,13.3,5.6,5.1,0.7,11.2,43.6,56.1
Epinion,6/13/2013,30.8,18.1,14.6,8.8,6,12.6,4.3,4.2,0.4,12.7,45.5,54.3
Voxmeter,6/10/2013,31.3,17.9,14.5,9.1,5.3,11.6,5.5,4,0.5,13.4,43.9,55.8
Voxmeter,6/4/2013,31.6,17.7,14.6,8.9,5.2,11.8,5.2,4.1,0.5,13.9,43.6,56
Megafon,5/29/2013,32.1,15.9,14.7,8.7,5.4,12.8,5.7,3.8,0.6,16.2,42.8,56.9
Epinion,5/28/2013,29.7,16.5,15.1,8.2,4.7,14.6,6.3,4.6,0.3,13.2,44,56
Voxmeter,5/27/2013,32.5,17.3,14.3,8.4,4.9,12.3,5.1,4.7,0.4,15.2,42.9,57
Greens,5/6/2013,31.6,16.1,16.2,6.6,3.4,14.9,5.4,4.1,0.7,15.4,41.0,58.0
Epinion,4/29/2013,30.6,16.3,15.7,8.2,4.1,14.9,6.2,3.7,0.3,14.3,43.5,56.5
Megafon,4/25/2013,31.3,17.8,17.5,7.5,2.8,13.2,5.2,4.4,0.4,13.5,41.3,58.8
Voxmeter,4/22/2013,32.2,17.9,16.3,8.6,3.7,12.2,4.6,3.7,0.8,14.3,42.4,57.6
Rambøll,4/20/2013,33.5,15.6,14.7,9.1,4.3,12.8,4.9,4.2,0.9,17.9,41.8,58.2
Gallup,4/16/2013,30.8,18.2,16,7.8,5,13.3,4,3.8,1.1,12.6,44.3,55.7
Voxmeter,4/15/2013,32.5,19.2,15.2,8.3,4.4,10.9,5.4,3.4,0.6,13.3,42.8,57.1
Megafon,3/26/2013,31.1,18.4,16.9,8.8,4.1,11.1,4.9,4.2,0.4,12.7,42.4,57.5
Voxmeter,3/26/2013,32.4,17.7,16.2,7.8,4.1,12.3,5.2,3.4,0.6,14.7,41.9,57.8
Megafon,3/21/2013,29.9,18,17.1,8.1,4.2,12.2,5.6,4,0.6,11.9,42.5,57.2
Rambøll,3/21/2013,31.9,19,15.5,8.4,4.9,11.2,5,3.4,0.5,12.9,43.5,56.3
Epinion,3/14/2013,30,17.2,17.3,8.9,4.6,12,6.1,3.3,0.6,12.7,42.7,57.3
Gallup,3/11/2013,31,17.1,15.5,9.2,5.5,12.5,4.4,3.9,0.8,13.9,44.3,55.6
Voxmeter,3/6/2013,32.1,20.5,14.3,7.7,5.5,10,5.6,3.9,0.3,11.6,43.7,56.2
Greens,3/1/2013,30.3,17.2,15.6,8.7,6.1,11.1,6.2,4,0.5,13.1,43.1,56.6
Megafon,2/28/2013,30.0,18.3,15.9,9,4.8,12.7,5.1,3.4,0.8,11.7,44.8,55.2
Rambøll,2/23/2013,30.8,23,13.8,9.1,7.3,8.2,4.1,3.3,0.3,7.8,47.6,52.3
Epinion,2/14/2013,31.3,19.9,15.7,7.8,6.4,9.5,5.3,3.9,0.1,11.4,43.6,56.3
Gallup,2/8/2013,31.6,20.8,15.2,8.6,7.1,8.2,4.2,3.5,0.8,10.8,44.7,55.3
Megafon,1/24/2013,31.7,19.2,14.3,9.3,7.4,8.2,4.7,4.2,1.1,12.5,44.1,56
Epinion,1/24/2013,31.5,19.2,15.1,8.4,7.1,9.9,4.3,4.2,0.2,12.3,44.6,55.3
Rambøll,1/19/2013,32.4,19.5,13.5,9.1,7.3,8.6,4.5,4.3,0.9,12.9,44.5,55.6
Gallup,1/14/2013,29.9,20.5,14.5,9.9,6.2,10.2,4.5,3.5,0.5,9.4,46.8,52.9
Greens,1/11/2013,33,18.5,15.6,8.9,5.5,9.9,4.9,3.5,1,14.5,42.8,58.0
Voxmeter,1/8/2013,31.9,22.6,13.4,8.5,6.4,9.7,3.7,3.2,0.5,9.3,47.2,52.7
Megafon,12/20/2012,30.8,18.7,14.8,8.9,6.1,10.2,6.8,2.8,0.5,12.1,43.9,55.7
Voxmeter,12/17/2012,32.5,20.2,14.6,8.8,6.2,8.6,4.2,3.7,0.6,12.3,43.8,55.6
Rambøll,12/17/2012,32.4,21.3,12.6,8.5,7.8,8.4,4.6,4,0.7,11.1,46,54.3
Epinion,12/17/2012,32.8,19.4,15.5,7.1,6.5,10.1,4.4,3.7,0.4,13.4,43.1,56.8
Voxmeter,12/10/2012,32.7,20.5,13.9,8.7,6.6,8.7,4.5,3.5,0.6,12.2,44.5,55.2
Gallup,12/10/2012,32.1,23.1,13.3,8.7,6.4,8.5,4.2,3.2,0.3,9,46.7,53.1
Megafon,11/29/2012,29.6,19.8,14.3,9.4,6.2,11.3,5.9,2.7,0.7,9.8,46.7,53.2
Voxmeter,11/19/2012,34.5,18.2,13.5,9.7,7.4,7.5,4.5,3.2,0.8,16.3,42.8,56.5
Rambøll,11/19/2012,31.6,20.1,13.1,9.1,7.1,9.2,4.6,4.3,0.7,11.5,45.5,54.3
Epinion,11/16/2012,32.3,19.1,15.2,8.1,7.5,8.4,4.8,4,0.6,13.2,43.1,56.9
Voxmeter,11/11/2012,34.4,18.7,13.8,8.7,7.6,7.9,4.7,2.7,0.8,15.7,42.9,56.4
Gallup,11/9/2012,30.7,19.8,15.6,8.3,7.5,8.7,4.3,4.1,0.8,10.9,44.3,55.5
Greens,11/5/2012,33.9,20.6,14.7,6.9,6.1,8.5,4.7,4.1,0.3,13.3,42.1,57.7
Megafon,10/22/2012,31.8,20.4,13.2,9.4,5.8,9.4,5.1,4.1,0.7,11.4,45,54.9
Epinion,10/22/2012,31.6,19.9,14.7,7.8,6.8,9.1,5.1,4.2,0.8,11.7,43.6,56.4
Voxmeter,10/17/2012,33.3,19.2,13.8,9.5,5.6,9,4.1,4.6,0.9,14.1,43.3,56.7
Rambøll,10/16/2012,33.1,20.7,14.9,8.7,6.5,8,4.1,3.2,0.7,12.4,43.9,56
Greens,10/5/2012,32.9,16.5,15,9.4,6.5,10.4,4.9,3.7,0.5,16.4,42.8,57
Megafon,9/20/2012,30.7,20.2,14.5,8.3,6.6,10,4.7,4.2,0.8,10.5,45.1,54.9
Voxmeter,9/17/2012,34.6,19.3,13,9.2,6.4,8.7,4.5,3.8,0.3,15.3,43.6,56.2
Epinion,9/11/2012,33.5,19,15.1,7.5,5.7,9.9,4.9,3.5,0.9,14.5,42.1,57.9
Voxmeter,9/7/2012,34.6,19.3,13,9.2,6.4,8.7,4.5,3.8,0.3,15.3,43.6,56.2
Greens,9/7/2012,33.1,18.5,13.8,8.2,5.7,10.9,5.3,3.7,0.6,14.6,43.3,56.5
Gallup,9/6/2012,31.2,20,13.4,9,6.5,10.5,4.3,3.9,1.1,11.2,46,53.9
Voxmeter,9/5/2012,33.7,18.6,13.8,8.8,6.5,10.4,4.2,3.9,0.2,15.1,44.3,55.8
Megafon,8/29/2012,33,19.3,13.1,8.5,6.5,9.4,4.3,4.7,1.2,13.7,43.7,55.3
Voxmeter,8/19/2012,33,18.8,13,10.3,6.2,8.9,4.2,4.7,0.7,14.2,44.2,55.6
Rambøll,8/17/2012,32.4,19,13.9,9,6.7,8.9,5.1,4.1,0.9,13.4,43.6,56.4
Gallup,8/11/2012,32.2,20.7,12.4,9.4,6.1,10,4.8,3.6,0.5,11.5,46.2,53.5
Epinion,8/10/2012,34.4,17.4,14.1,9.2,6,10.5,3.7,4.1,0.6,17,43.1,56.9
Megafon,8/10/2012,31.1,19.8,13.9,9.3,5.8,10.8,5.4,3.7,0.2,11.3,45.7,54.3
Gallup,7/10/2012,31.2,17.7,14,9.8,5.7,12.2,4.2,4.1,0.9,13.5,45.4,54.4
Voxmeter,6/27/2012,34.9,15.9,13.3,9.5,5.4,12.3,3.6,4.3,0.8,19,43.1,56.9
Epinion,6/27/2012,33.6,16.3,12.8,8.3,5.8,13.6,4.1,4.5,0.9,17.3,44,55.9
Megafon,6/27/2012,33.4,17.3,12.4,7.8,5.2,13.9,4.7,4.4,0.7,16.1,44.2,55.6
Epinion,6/13/2012,34,17.5,13.3,7.4,6.6,10.8,5,5,0.4,16.5,42.3,57.7
Voxmeter,6/12/2012,34,16.8,13.2,9.9,6.8,9.5,4.5,4.4,0.6,17.2,43,56.7
Rambøll,6/9/2012,34.1,17.5,12.6,8.7,6.6,10,4.9,4.8,0.8,16.6,42.8,57.2
Greens,6/8/2012,35,17.1,12,9.3,5.9,11.6,4.2,3.3,1,17.9,43.9,55.5
Megafon,5/31/2012,34,16.9,13.7,9.2,5.7,11.3,5,3.5,0.5,17.1,43.1,56.7
Epinion,5/25/2012,32.9,20.5,12.9,8.6,6.2,8.7,5.5,3.9,0.6,12.4,44,55.8
Rambøll,5/14/2012,34,20.3,12.3,8.6,7,8.5,4.5,3.7,1,13.7,44.4,55.5
Greens,5/11/2012,34,19.3,12.9,9.9,7.4,8.1,4.4,2.9,0.5,14.7,44.7,54.7
Gallup,5/10/2012,29.9,21,13.8,8.5,7.5,8.8,5.3,3.9,1,8.9,45.8,53.9
Megafon,4/25/2012,32.5,20.2,12.7,10.6,7.7,7.6,4.6,3.4,0.6,12.3,46.1,53.8
Megafon,4/13/2012,31.4,21.5,12.6,9.6,5.6,9.4,5.8,3.9,0.1,9.9,46.1,53.8
Gallup,4/11/2012,31.8,22.5,12.1,9.3,6.3,7.9,4.8,4.6,0.6,9.3,46,53.9
Epinion,4/11/2012,33.4,20.8,13.4,9,6.6,7.8,4.7,3.3,0.9,12.6,44.2,55.7
Rambøll,3/31/2012,31.7,21.2,12.6,10.2,7.4,7.8,3.8,4.5,0.8,10.5,46.6,53.4
Megafon,3/29/2012,32.2,19.8,13.3,9.3,5.9,9.2,6.5,3.4,0.3,12.4,44.2,55.7
Voxmeter,3/23/2012,34.3,19.2,13.6,9.2,6.1,8.9,5.1,3,0.5,15.1,43.4,56.5
Epinion,3/22/2012,32.1,20.6,13.3,9.4,7.9,8.4,4.4,3.5,0.3,11.5,46.3,53.6
Voxmeter,3/12/2012,33.6,18.5,13.5,9,6.6,9.2,5.3,3.7,0.6,15.1,43.3,56.7
Gallup,3/12/2012,31.8,23.1,13.2,8.8,6.6,7.7,4.6,3.3,0.9,8.7,46.2,53.8
Megafon,2/22/2012,34.3,20.2,11.9,10,8.1,7.2,4.6,3.2,0.6,14.1,45.5,54.6
Epinion,2/15/2012,32.4,22.4,12.2,9.5,7.2,6.7,5.1,4.1,0.4,10,45.8,54.2
Megafon,1/26/2012,32.8,22.6,11.8,8.8,7.4,7.3,4.9,4,0.5,10.2,46.1,54
Epinion,1/10/2012,32.4,22,11.8,10.2,8.3,7.2,4.5,3.1,0.6,10.4,47.7,52.4
Epinion,12/21/2011,32.5,22.1,11.4,9,8.1,7.8,4.8,3.5,0.8,10.4,47,53
Megafon,12/14/2011,32.9,22.8,10.4,10.5,7.4,7.3,4.6,3.9,0.3,10.1,48,52.1
Megafon,11/24/2011,32.2,23,11.4,10.5,7,7.5,4.7,3.3,0.5,9.2,48,52.1
Epinion,11/3/2011,31.9,20.9,11.8,9.6,8.7,7.4,4.8,4.4,0.4,11,46.6,53.3
Megafon,10/26/2011,33.1,22.9,10.5,9.7,7.9,7.1,4.1,4,0.8,10.2,47.6,52.5
Megafon,10/6/2011,28.2,24.1,12.4,10.5,7.8,6.9,5.4,4,0.6,4.1,49.3,50.6
Election Results,9/15/2011,26.7,24.8,12.3,9.5,9.2,6.7,5,4.9,0.8,1.9,50.2,49.8
